# List of cataclysmic variables
# P. Mroz & P. Szkody
# 23 Mar 2020
# name ra dec l b
ZTF18abcmsux 270.853125  17.875446  44.047879  18.430973
ZTF18abcpbbj 354.364865  51.232956 111.297546  -9.959966
ZTF18abcqadc 334.792258  31.589682  88.703003 -20.976949
ZTF18abcrbtv   3.503881  59.800789 118.236287  -2.729342
ZTF18abcsatf 154.554186  71.928572 137.590521  40.551615
ZTF18abcsuit 326.910047  24.764962  78.284000 -21.770108
ZTF18abcvelo 348.577245  58.286652 110.438180  -2.209315
ZTF18abcvjox   8.119938  63.497233 120.818715   0.703297
ZTF18abcwcew 297.587909  41.876457  76.307787   7.810947
ZTF18abcxmen 344.241172  55.561576 107.180994  -3.770020
ZTF18abcxwzw 323.716609  53.932135  96.480414   1.478966
ZTF18abcysbr 282.181021  29.914206  59.803057  13.682107
ZTF18abcyzxp 287.247105  25.662676  57.816259   7.822384
ZTF18abdeelv 292.746587  51.959777  83.914068  15.364252
ZTF18abdegcu 326.820708  56.081462  99.235461   1.928173
ZTF18abdhozj 278.047338  61.918308  91.490383  25.941227
ZTF18abdhxvl 310.998266  42.057060  82.032322  -0.354525
ZTF18abdhzhu 328.189051  61.747713 103.388047   5.858075
ZTF18abdidvz 328.338436  49.911823  96.038056  -3.427157
ZTF18abdiirq 295.270226  31.963275  66.713062   4.537492
ZTF18abdjqmg 294.684729  35.675330  69.738117   6.763413
ZTF18abdjyag  18.163152  68.196615 124.908193   5.406308
ZTF18abdkbpz 336.484161  57.488344 104.344015  -0.035211
ZTF18abdklug 279.274725  37.299667  65.985741  18.698262
ZTF18abdkpgs 288.681330  60.870514  91.741683  20.754624
ZTF18abdkpol 295.922940  43.986623  77.576704   9.900540
ZTF18abdksvs 286.036771  15.400799  48.086691   4.217248
ZTF18abdktbj 292.359994  12.295720  48.200859  -2.660829
ZTF18abdkvek 294.837055  16.023352  52.630140  -2.961088
ZTF18abdkwtr 293.989742  33.013693  67.110906   5.991088
ZTF18abdkxkz 294.581430  30.548973  65.186627   4.361583
ZTF18abdlywu   9.728483  61.216717 121.424326  -1.618367
